id,detail_url,province_name,postal_code,bathrooms,bedrooms,size_interior,ammenities,type,price,address
26770140,/real-estate/26770140/998-appin-road-bonshaw-bonshaw,Prince Edward Island,C0A1C0,1,2 + 0,,,House,"$319,900","998 Appin Road|Bonshaw, Prince Edward Island C0A1C0"
26770139,/real-estate/26770139/330-birkallum-drive-mermaid-mermaid,Prince Edward Island,C1B0T6,4,3 + 3,,,House,"$1,099,900","330 Birkallum Drive|Mermaid, Prince Edward Island C1B0T6"
26770138,/real-estate/26770138/6590-av-joseph-bonin-saint-hyacinthe-saint-thomas-daquin,Quebec,J2R1E3,3,4,,,House,"$889,000","6590 Av. Joseph-Bonin|Saint-Hyacinthe, Quebec J2R1E3"
26770137,/real-estate/26770137/1205-rue-de-lérablière-sainte-julienne,Quebec,J0K2T0,1,3,,,House,"$380,000","1205 Rue de l'Érablière|Sainte-Julienne, Quebec J0K2T0"
26770134,/real-estate/26770134/5595-av-de-darlington-montréal-côte-des-neigesnotre-dame-de-grâce-côte-des-neiges,Quebec,H3T1T1,2,4,152.36 m2,,Apartment,"$935,000","5595 Av. de Darlington|Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Quebec H3T1T1"
26770132,/real-estate/26770132/408-rue-principale-portneuf-sur-mer,Quebec,G0T1P0,1,3,,,House,"$139,900","408 Rue Principale|Portneuf-sur-Mer, Quebec G0T1P0"
26770131,/real-estate/26770131/34-rue-des-serre-freins-rivière-du-loup,Quebec,G5R0L8,1,3,,,House,"$359,000","34 Rue des Serre-Freins|Rivière-du-Loup, Quebec G5R0L8"
26770130,/real-estate/26770130/785-rue-joffre-chertsey,Quebec,J0K3K0,2,4,,,House,"$499,900","785 Rue Joffre|Chertsey, Quebec J0K3K0"
26770129,/real-estate/26770129/17400-rue-notre-dame-mirabel-domaine-vert-nord,Quebec,J7J2M9,2,5,,,House,"$774,900","17400 Rue Notre-Dame|Mirabel, Quebec J7J2M9"
26770128,/real-estate/26770128/3197z-rue-frédéric-légaré-québec-la-haute-saint-charles-loretteville,Quebec,G2A0C4,1,3,1295.97 sqft,,House,"$304,800","3197Z Rue Frédéric-Légaré|Québec (La Haute-Saint-Charles), Quebec G2A0C4"
26770127,/real-estate/26770127/125-4e-rue-notre-dame-du-mont-carmel,Quebec,G0X3J0,2,3,,,House,"$209,000","125 4e Rue|Notre-Dame-du-Mont-Carmel, Quebec G0X3J0"
26770125,/real-estate/26770125/2016z-route-édouard-vii-saint-philippe,Quebec,J0L2K0,1,3,1145.28 sqft,,House,"$515,000","2016Z Route Édouard-VII|Saint-Philippe, Quebec J0L2K0"
26770123,/real-estate/26770123/905-rue-des-camélias-montréal-verdunîle-des-soeurs-île-des-soeurs,Quebec,H3E1Y5,2,4,,,House,"$2,125,000","905 Rue des Camélias|Montréal (Verdun/Île-des-Soeurs), Quebec H3E1Y5"
26770122,/real-estate/26770122/59-rue-champlain-bromont,Quebec,J2L3A5,2,3,1357 sqft,,House,"$599,900","59 Rue Champlain|Bromont, Quebec J2L3A5"
26770121,/real-estate/26770121/6-6a-ch-du-grand-pré-saint-jean-sur-richelieu-saint-luc,Quebec,J2W2Z5,2,6,3612.37 sqft,,Duplex,"$1,198,000","6-6A Ch. du Grand-Pré|Saint-Jean-sur-Richelieu, Quebec J2W2Z5"
26770120,/real-estate/26770120/669-rue-de-provence-saint-linlaurentides-saint-lin,Quebec,J5M2R2,1,3,,,House,"$324,900","669 Rue de Provence|Saint-Lin/Laurentides, Quebec J5M2R2"
26770119,/real-estate/26770119/rue-ambroise-lafortune-boisbriand-faubourg-boisbriand,Quebec,J7H1S6,,,,,,"$3,200,000 +  GST +  QST","Rue Ambroise-Lafortune|Boisbriand, Quebec J7H1S6"
26770117,/real-estate/26770117/ch-du-lac-goth-saint-félix-dotis,Quebec,G0V1M0,,,,,,"$56,500","Ch. du Lac-Goth|Saint-Félix-d'Otis, Quebec G0V1M0"
26770116,/real-estate/26770116/100-rivière-ha-ha-ferland-et-boilleau-ferland-et-boilleau,Quebec,G0V1H0,0,1,,,House,"$115,000","100 Rivière Ha Ha|Ferland-et-Boilleau, Quebec G0V1H0"
26770115,/real-estate/26770115/249-rue-sirois-saint-épiphane,Quebec,G0L2X0,1,4,,,House,"$89,900","249 Rue Sirois|Saint-Épiphane, Quebec G0L2X0"
